,STT,Loại giao dich,Giá tiền,Vị trí,Tầng,View,Hướng cửa chính,Số phòng ngủ,Số WC,Nội thất,Tiện ích,Giấy tờ,Gần bệnh viện,Gần trường học
230,231,đang bán,1400000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",1,Cầu Sài Gòn,Đông Nam,2,3,Máy giặt,Nhà hàng,Sổ hồng,Bệnh viện chợ Rẫy cách 1000m,Tiểu học 300 m
231,232,đang bán,1600000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",98,Phạm VĂn Đồng,Bắc,4,1,Ghế,Nhà hàng,Khác,Bệnh viện chợ Rẫy cách 1000m,THCS cách 1300m
232,233,đã bán,2200000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",36,Xa lộ Hà Nội,Tây Nam,2,3,Máy lạnh,Cửu hàng giặt sấy,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 1000m,Tiểu học 500 m
233,234,đang bán,3650000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",52,Đầm Sen,Đông,3,2,Không có,Phòng yoga,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 2000m,Mầm non cách 1500m
234,235,đang cho thuê,1600000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",7,Khu dân cư ABC,Đông,4,1,Không có,Công viên,Sổ hồng,Bệnh viện chợ Rẫy cách 400m,Tiểu học cách 150m
235,236,đang cho thuê,3000000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",33,Landmark 81,Tây Bắc,3,1,Tủ lạnh,Nhà hàng,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 1000m,THPT cách 1300m
236,237,đã bán,2000000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",82,Cầu Sài Gòn,Đông,2,3,Ghế,Phòng yoga,Sổ hồng,Bệnh viện chợ Rẫy cách 500m,Mầm non cách 1500m
237,238,đang bán,4300000000,"12 Tân Hưng, quận 1",22,Quốc lộ 51,Tây,3,1,Máy giặt,Không có,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 400m,THPT cách 1300m
238,239,đang cho thuê,1000000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",62,Sân Vận Động,Đông Bắc,1,3,Không có,Hồ bơi,Sổ hồng,Bệnh viện chợ Rẫy cách 300m,THPT cách 300m
239,240,đã thuê,2600000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",46,Chung cư Bcons,Nam,4,3,Rèm,Phòng yoga,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 500m,THPT cách 200m
240,241,đã thuê,1450000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",5,Khu dân cư ABC,Nam,4,3,Rèm,Công viên,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 400m,THPT cách 200m
241,242,đã thuê,3100000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",76,Quốc lộ 51,Đông Nam,4,3,Máy giặt,Nhà hàng,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 200m,THPT cách 1300m
242,243,đang cho thuê,2400000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",35,Landmark 81,Đông,2,2,Ghế,Phòng yoga,Khác,Bệnh viện Đại học Y Dược TPHCM cách 2000m,Tiểu học cách 150m
243,244,đã thuê,1700000000,"12 Tân Hưng, quận 1",99,Cầu Sài Gòn,Tây Bắc,1,1,Rèm,Phòng gym,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 400m,Tiểu học cách 150m
244,245,đang bán,2800000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",49,Chung cư Bcons,Đông Nam,4,3,TV,Phòng yoga,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 2000m,Tiểu học 300 m
245,246,đang bán,2600000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",36,Xa lộ Hà Nội,Đông,4,2,TV,Hồ bơi,Khác,Bệnh viện Nhi Đồng cách 400m,Tiểu học cách 150m
246,247,đã bán,2100000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",98,Suối Tiên,Tây,3,2,Máy giặt,Hồ bơi,Sổ hồng,Bệnh viện chợ Rẫy cách 500m,THCS cách 1200m
247,248,đang bán,3550000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",41,Cầu Sài Gòn,Tây,2,1,Bàn,Công viên,Khác,Bệnh viện Nhi Đồng cách 400m,Tiểu học cách 150m
248,249,đang bán,4200000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",59,Suối Tiên,Đông Bắc,4,2,Không có,Phòng yoga,Khác,Bệnh viện Đại học Y Dược TPHCM cách 2000m,Mầm non cách 250m
249,250,đã thuê,3800000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",29,Chung cư Bcons,Đông Bắc,2,3,Ghế,Hồ bơi,Khác,Bệnh viện Đại học Y Dược TPHCM cách 200m,Tiểu học 200 m
250,251,đang cho thuê,4350000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",17,Suối Tiên,Tây Nam,2,1,TV,Cửa hàng tiện lợi,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 2000m,Mầm non cách 300m
251,252,đang bán,4450000000,"12 Tân Hưng, quận 1",99,Sân Vận Động,Tây Bắc,1,2,Máy lạnh,Phòng yoga,Sổ hồng,Không có,Mầm non cách 1500m
252,253,đang bán,1300000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",95,Landmark 81,Đông,2,3,Máy lạnh,Phòng gym,Khác,Không có,Mầm non cách 300m
253,254,đã bán,1350000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",20,Chung cư Bcons,Đông Bắc,3,2,Không có,Công viên,Khác,Bệnh viện Nhi Đồng cách 100m,THCS cách 1300m
254,255,đang bán,4450000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",6,Sân Vận Động,Tây Nam,1,2,Ghế,Hồ bơi,Hợp dồng mua bán,Không có,THCS cách 1300m
255,256,đang bán,3200000000,"12 Tân Hưng, quận 1",70,Landmark 81,Tây Bắc,4,1,Bàn,Phòng gym,Sổ hồng,Bệnh viện Nhi Đồng cách 400m,Tiểu học 200 m
256,257,đã bán,2750000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",13,Landmark 81,Bắc,3,2,Rèm,Nhà hàng,Khác,Bệnh viện Nhi Đồng cách 1000m,THPT cách 200m
257,258,đang cho thuê,2600000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",62,Khu dân cư ABC,Tây Bắc,4,2,TV,Hồ bơi,Sổ hồng,Bệnh viện Nhi Đồng cách 100m,THCS cách 120m
258,259,đã thuê,2800000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",17,Xa lộ Hà Nội,Nam,4,1,Bếp,Không có,Sổ hồng,Không có,THPT cách 1300m
259,260,đang cho thuê,2200000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",21,Phạm VĂn Đồng,Đông Bắc,1,2,Bếp,Phòng gym,Sổ hồng,Bệnh viện Nhi Đồng cách 100m,THCS cách 120m
260,261,đã bán,3600000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",51,Landmark 81,Đông Nam,1,3,Ghế,Cửa hàng tiện lợi,Khác,Bệnh viện Đại học Y Dược TPHCM cách 400m,Tiểu học 500 m
261,262,đã thuê,2100000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",84,Chung cư Bcons,Đông Nam,2,3,Tủ lạnh,Không có,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 400m,Tiểu học 500 m
262,263,đang bán,1400000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",10,Landmark 81,Nam,1,1,Máy giặt,Cửa hàng tiện lợi,Sổ hồng,Bệnh viện Đại học Y Dược TPHCM cách 400m,Tiểu học 500 m
263,264,đang bán,2900000000 ,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",51,Không có ban công,Tây Bắc,2,3,Rèm,Phòng yoga,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 500m,THCS cách 1200m
264,265,đang bán,2550000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",21,Không có ban công,Nam,1,2,Bếp,Không có,Sổ hồng,Bệnh viện Nhi Đồng cách 200m,THPT cách 200m
265,266,đã thuê,1950000000 ,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",87,Không có ban công,Nam,3,1,Bếp,Phòng yoga,Sổ hồng,Bệnh viện Nhi Đồng cách 200m,THPT cách 200m
266,267,đang cho thuê,2900000000 ,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",62,Quốc lộ 51,Đông,2,3,Bếp,Phòng gym,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 200m,Tiểu học 200 m
267,268,đã bán,3000000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",67,Phạm VĂn Đồng,Bắc,4,1,Tủ lạnh,Cửu hàng giặt sấy,Sổ hồng,Bệnh viện Nhi Đồng cách 1000m,Mầm non cách 300m
268,269,đang cho thuê,1500000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",69,Xa lộ Hà Nội,Đông Nam,4,1,Máy giặt,Không có,Khác,Bệnh viện chợ Rẫy cách 1000m,Tiểu học 500 m
269,270,đang bán,2500000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",51,Quốc lộ 51,Nam,2,1,Rèm,Nhà hàng,Sổ hồng,Bệnh viện Nhi Đồng cách 400m,Mầm non cách 300m
270,271,đã thuê,1100000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",89,Suối Tiên,Nam,1,3,TV,Nhà hàng,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 200m,THPT cách 300m
271,272,đang bán,2800000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",31,Chung cư Bcons,Đông Bắc,3,2,TV,Phòng yoga,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 100m,Tiểu học cách 150m
272,273,đang cho thuê,3550000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",67,Cầu Sài Gòn,Đông,3,1,Ghế,Phòng gym,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 500m,Tiểu học cách 150m
273,274,đang cho thuê,3700000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",37,Quốc lộ 51,Nam,4,2,Không có,Nhà hàng,Khác,Bệnh viện Nhi Đồng cách 100m,Tiểu học 300 m
274,275,đã thuê,3700000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",3,Chung cư Bcons,Tây Bắc,1,2,TV,Cửu hàng giặt sấy,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 400m,THPT cách 1300m
275,276,đang bán,2600000000,"12 Tân Hưng, quận 1",19,Sân Vận Động,Bắc,3,2,TV,Không có,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 400m,Tiểu học 700 m
276,277,đang bán,1400000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",75,Khu dân cư ABC,Nam,2,2,Bếp,Phòng gym,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 200m,THCS cách 1200m
277,278,đã thuê,3600000000,"31 Nguyễn Hữu Thọ, phường Tân Phong, quận 7",76,Landmark 81,Đông Bắc,3,1,Bàn,Cửu hàng giặt sấy,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 100m,Tiểu học cách 150m
278,279,đã thuê,4350000000,"12 Tân Hưng, quận 1",7,Landmark 81,Nam,1,3,Bàn,Phòng gym,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 400m,Mầm non cách 1500m
279,280,đang cho thuê,4400000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",19,Sông Sài Gòn,Tây Nam,3,2,Máy giặt,Hồ bơi,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 100m,Không có
280,281,đã thuê,2750000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",23,Đầm Sen,Bắc,1,2,Bếp,Phòng yoga,Khác,Không có,THCS cách 1200m
281,282,đang bán,2750000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",91,Xa lộ Hà Nội,Tây Nam,4,1,Máy giặt,Nhà hàng,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 1000m,Không có
282,283,đang cho thuê,4350000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",80,Xa lộ Hà Nội,Tây,3,1,Rèm,Không có,Khác,Bệnh viện Nhi Đồng cách 400m,Tiểu học 500 m
283,284,đã bán,1500000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",43,Chung cư Bcons,Đông,4,3,Rèm,Phòng yoga,Khác,Bệnh viện chợ Rẫy cách 300m,THPT cách 1300m
284,285,đang bán,2550000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",58,Đầm Sen,Tây Bắc,4,3,Máy giặt,Cửu hàng giặt sấy,Khác,Bệnh viện Đại học Y Dược TPHCM cách 2000m,THPT cách 200m
285,286,đang cho thuê,1800000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",29,Suối Tiên,Đông Nam,4,3,Máy lạnh,Phòng yoga,Sổ hồng,Bệnh viện chợ Rẫy cách 500m,Mầm non cách 200m
286,287,đã thuê,3900000000 ,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",23,Khu dân cư ABC,Tây Nam,1,2,Máy lạnh,Cửa hàng tiện lợi,Khác,Bệnh viện chợ Rẫy cách 500m,Mầm non cách 200m
287,288,đang cho thuê,5000000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",94,Quốc lộ 51,Đông Bắc,3,2,Bếp,Nhà hàng,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 2000m,Mầm non cách 200m
288,289,đã thuê,4750000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",69,Landmark 81,Đông,4,2,Ghế,Nhà hàng,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 200m,THCS cách 1300m
289,290,đang cho thuê,1000000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",85,Suối Tiên,Bắc,2,1,Bàn,Công viên,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 200m,THPT cách 1300m
290,291,đã bán,4200000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",50,Sân Vận Động,Nam,2,3,Bàn,Nhà hàng,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 2000m,Mầm non cách 200m
291,292,đang bán,4300000000,"12 Nguyễn Tât Thành, phường Tân Phú, quận 4",13,Quốc lộ 51,Đông Bắc,2,1,Máy lạnh,Phòng gym,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 200m,Tiểu học cách 150m
292,293,đã bán,1400000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",41,Sông Sài Gòn,Tây Nam,3,1,Không có,Phòng gym,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 1000m,THCS cách 1200m
293,294,đã bán,3800000000,"31 Hoàn Trọng, phường Tân Hưng, quận 7",7,Khu dân cư ABC,Đông,4,3,Ghế,Nhà hàng,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 200m,Tiểu học 200 m
294,295,đã bán,4800000000,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương.",62,Đầm Sen,Tây,1,1,Rèm,Phòng yoga,Khác,Bệnh viện chợ Rẫy cách 500m,Tiểu học 200 m
295,296,đã bán,2000000000,"12A Nguyễn Tất Thành, phường Tân Phú, quận 4",91,Quốc lộ 51,Tây,1,3,Ghế,Phòng gym,Khác,Bệnh viện Đại học Y Dược TPHCM cách 200m,Mầm non cách 200m
296,297,đang cho thuê,2400000000,"327 Phạm Văn Đồng, Linh Đông, Thủ Đức",26,Khu dân cư ABC,Bắc,4,1,Bàn,Phòng yoga,Hợp dồng mua bán,Bệnh viện Đại học Y Dược TPHCM cách 300m,Tiểu học 500 m
297,298,đã bán,2000000000,"32 Nguyễn Phú Thọ, phường Tân Hưng, quận 7",19,Xa lộ Hà Nội,Đông Nam,2,3,Ghế,Công viên,Sổ hồng,Bệnh viện chợ Rẫy cách 500m,Tiểu học 200 m
298,299,đã bán,3300000000,"13 Đinh Bộ Lĩnh, phường Tân Phú, quận 2",32,Suối Tiên,Tây,2,1,Ghế,Phòng yoga,Hợp dồng mua bán,Bệnh viện chợ Rẫy cách 300m,Mầm non cách 300m
299,300,đã bán,4000000000,"32 Phú Mỹ Hưng, phường Tân Phú, quận 7",95,Khu dân cư ABC,Đông Bắc,3,2,Bếp,Công viên,Hợp dồng mua bán,Bệnh viện Nhi Đồng cách 500m,Mầm non cách 300m
